ID,Name,Glyph,Eye Color,Dominant Glow,Rarity Tier,Other Traits
1,SeekerRaven #1 - I Prime,I,Neon Green,Green,Rare,"Angular Tech Spikes, Purple-Blue City"
2,SeekerRaven #2 - R Alert,R,Red,Red,Uncommon,"Blade Crest, Cyan-Magenta City"
3,SeekerRaven #3 - V Shadow,V,Red,Red,Rare,"Gothic Spikes, Orange-Pink City"
4,SeekerRaven #4 - R Tactical,R,Green,Green,Common,"None, Green-Teal City"
5,SeekerRaven #5 - II Protocol,II,Green,Green,Epic,"Protocol Fragment, Monochrome Rain"
6,SeekerRaven #6 - V Core,V,Blue,Blue,Rare,"Overclocked, Purple-Blue City"
7,SeekerRaven #7 - R Overload,R,Orange,Orange,Uncommon,"Damaged Wiring, Cyan-Magenta City"
8,SeekerRaven #8 - I Insight,I,Blue,Blue,Rare,"Hidden Symbol, Orange-Pink City"
9,SeekerRaven #9 - V Phantom,V,Purple,Purple,Legendary,"Drone Escort, Green-Teal City"
10,SeekerRaven #10 - R Surge,R,Cyan,Cyan,Epic,"Encrypted, Monochrome Rain"
11,SeekerRaven #11 - II Echo,II,Red,Red,Rare,"Angular Tech Spikes, Purple-Blue City"
12,SeekerRaven #12 - Triangle Void,Triangle,Green,Green,Uncommon,"Blade Crest, Cyan-Magenta City"
13,SeekerRaven #13 - Shadow V,V,Red,Purple,Rare,"Gothic Spikes, Orange-Pink City"
14,SeekerRaven #14 - R Nexus,R,Blue,Blue,Common,"None, Green-Teal City"
15,SeekerRaven #15 - I Matrix,I,Orange,Orange,Epic,"Protocol Fragment, Monochrome Rain"
16,SeekerRaven #16 - V Fury,V,Green,Green,Rare,"Overclocked, Purple-Blue City"
17,SeekerRaven #17 - R Blaze,R,Red,Red,Uncommon,"Damaged Wiring, Cyan-Magenta City"
18,SeekerRaven #18 - II Sentinel,II,Blue,Blue,Rare,"Hidden Symbol, Orange-Pink City"
19,SeekerRaven #19 - Triangle Pulse,Triangle,Purple,Purple,Legendary,"Drone Escort, Green-Teal City"
20,SeekerRaven #20 - Shadow R,R,Cyan,Cyan,Epic,"Encrypted, Monochrome Rain"
21,SeekerRaven #21 - V Eclipse,V,Orange,Orange,Rare,"Angular Tech Spikes, Purple-Blue City"
22,SeekerRaven #22 - I Vortex,I,Green,Green,Uncommon,"Blade Crest, Cyan-Magenta City"
23,SeekerRaven #23 - R Phantom,R,Red,Red,Rare,"Gothic Spikes, Orange-Pink City"
24,SeekerRaven #24 - II Core,II,Blue,Blue,Common,"None, Green-Teal City"
25,SeekerRaven #25 - Triangle Alert,Triangle,Cyan,Cyan,Epic,"Protocol Fragment, Monochrome Rain"
26,SeekerRaven #26 - Shadow I,I,Purple,Purple,Rare,"Overclocked, Purple-Blue City"
27,SeekerRaven #27 - V Tactical,V,Orange,Orange,Uncommon,"Damaged Wiring, Cyan-Magenta City"
28,SeekerRaven #28 - R Insight,R,Green,Green,Rare,"Hidden Symbol, Orange-Pink City"
29,SeekerRaven #29 - II Shadow,II,Red,Red,Legendary,"Drone Escort, Green-Teal City"
30,SeekerRaven #30 - Triangle Overload,Triangle,Blue,Blue,Epic,"Encrypted, Monochrome Rain"
31,SeekerRaven #31 - Shadow V,V,Cyan,Cyan,Rare,"Angular Tech Spikes, Purple-Blue City"
32,SeekerRaven #32 - I Surge,I,Purple,Purple,Uncommon,"Blade Crest, Cyan-Magenta City"
33,SeekerRaven #33 - R Echo,R,Orange,Orange,Rare,"Gothic Spikes, Orange-Pink City"
34,SeekerRaven #34 - V Nexus,V,Green,Green,Common,"None, Green-Teal City"
